source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
Glutamatergic_Neuron,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,Secreted Signaling,0.0,1.0,0.0175398479461456,0.0,0.0175398479461456,DMH,True,Microglia_incoming
GABAergic_Neuron,Microglia,SEMA4A_NRP1_PLXNA4,Sema4a  - (Nrp1+Plxna4),Sema4a,NRP1_PLXNA4,SEMA4,Cell-Cell Contact,0.017105375736868,0.0,0.0,1.0,-0.017105375736868,DMH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,Cell-Cell Contact,0.0259323034021499,0.0,0.0426979643543696,0.0,0.0167656609522197,DMH,True,Microglia_incoming
Microglia,Microglia,ICAM1_ITGAM_ITGB2,Icam1  - (Itgam+Itgb2),Icam1,ITGAM_ITGB2,ICAM,Cell-Cell Contact,0.0318885587138435,0.0,0.0486259829480498,0.0,0.016737424234206294,DMH,True,Microglia_autocrine
GABAergic_Neuron,Microglia,EFNA5_EPHA2,Efna5  - Epha2,Efna5,Epha2,EPHA,Cell-Cell Contact,0.0,1.0,0.0167089392629566,0.0,0.0167089392629566,DMH,True,Microglia_incoming
GABAergic_Neuron,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,Secreted Signaling,0.0,1.0,0.016556345383564,0.0,0.016556345383564,DMH,True,Microglia_incoming
Microglia,Microglia,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),Tgfb1,ACVR1_TGFbR,TGFb,Secreted Signaling,0.087613093534097,0.0,0.103436160039176,0.0,0.01582306650507899,DMH,True,Microglia_autocrine
Microglia,Microglia,LGALS9_HAVCR2,Lgals9  - Havcr2,Lgals9,Havcr2,GALECTIN,Secreted Signaling,0.0232677371943905,0.0,0.0389624405418939,0.0,0.0156947033475034,DMH,True,Microglia_autocrine
Microglia,Microglia,TNF_TNFRSF1A,Tnf  - Tnfrsf1a,Tnf,Tnfrsf1a,TNF,Secreted Signaling,0.0053626070301321,0.0,0.0192011084037329,0.0,0.0138385013736008,DMH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,PDYN_OPRM1,Pdyn  - Oprm1,Pdyn,Oprm1,OPIOID,Secreted Signaling,0.0,1.0,0.0137302210606618,0.0,0.0137302210606618,DMH,True,Microglia_incoming
GABAergic_Neuron,Microglia,COL4A2_ITGA9_ITGB1,Col4a2  - (Itga9+Itgb1),Col4a2,ITGA9_ITGB1,COLLAGEN,ECM-Receptor,0.0,1.0,0.0134896583173688,0.0,0.0134896583173688,DMH,True,Microglia_incoming
Microglia,Microglia,PROS1_AXL,Pros1  - Axl,Pros1,Axl,PROS,Secreted Signaling,0.0,1.0,0.0126675559477325,0.0,0.0126675559477325,DMH,True,Microglia_autocrine
Microglia,Microglia,SEMA4C_PLXNB2,Sema4c  - Plxnb2,Sema4c,Plxnb2,SEMA4,Cell-Cell Contact,0.0022731798584587,0.0,0.0148197120558025,0.0,0.0125465321973438,DMH,True,Microglia_autocrine
Microglia,Microglia,JAM2_ITGAV_ITGB1,Jam2  - (Itgav+Itgb1),Jam2,ITGAV_ITGB1,JAM,Cell-Cell Contact,0.0,1.0,0.0124768579191388,0.0,0.0124768579191388,DMH,True,Microglia_autocrine
GABAergic_Neuron,Microglia,SEMA4A_PLXNB2,Sema4a  - Plxnb2,Sema4a,Plxnb2,SEMA4,Cell-Cell Contact,0.0120287703542136,0.0,0.0,1.0,-0.0120287703542136,DMH,True,Microglia_incoming
Microglia,Microglia,APP_CD74,App  - Cd74,App,Cd74,APP,Cell-Cell Contact,0.0,1.0,0.0115202384255424,0.0,0.0115202384255424,DMH,True,Microglia_autocrine
Microglia,GABAergic_Neuron,F11R_JAM3,F11r  - Jam3,F11r,Jam3,JAM,Cell-Cell Contact,0.0526974190863893,0.0,0.0429589036437149,0.0,-0.0097385154426744,DMH,True,Microglia_outgoing
GABAergic_Neuron,Microglia,JAM3_F11R,Jam3  - F11r,Jam3,F11r,JAM,Cell-Cell Contact,0.0526974190863893,0.0,0.0429589036437149,0.0,-0.0097385154426744,DMH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,JAM3_F11R,Jam3  - F11r,Jam3,F11r,JAM,Cell-Cell Contact,0.0567655821518421,0.0,0.0482616272952867,0.0,-0.008503954856555404,DMH,True,Microglia_incoming
