source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
Microglia,Microglia,CCL4_CCR5,Ccl4  - Ccr5,Ccl4,Ccr5,CCL,Secreted Signaling,0.0942341034684398,0.0,0.100781367670783,0.0,0.006547264202343195,PVN_PVH,True,Microglia_autocrine
Microglia,Glutamatergic_Neuron,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,Secreted Signaling,0.0285720832564349,0.0,0.0220429414776959,0.0,-0.006529141778738999,PVN_PVH,True,Microglia_outgoing
Microglia,GABAergic_Neuron,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,Secreted Signaling,0.035935968736824,0.0,0.029759408813212,0.0,-0.0061765599236120045,PVN_PVH,True,Microglia_outgoing
Microglia,Microglia,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,Secreted Signaling,0.0501220371538857,0.0,0.0439526874644892,0.0,-0.006169349689396496,PVN_PVH,True,Microglia_autocrine
Microglia,GABAergic_Neuron,F11R_JAM3,F11r  - Jam3,F11r,Jam3,JAM,Cell-Cell Contact,0.0165359264626861,0.0,0.0111202045376922,0.0,-0.005415721924993901,PVN_PVH,True,Microglia_outgoing
GABAergic_Neuron,Microglia,JAM3_F11R,Jam3  - F11r,Jam3,F11r,JAM,Cell-Cell Contact,0.0165359264626861,0.0,0.0111202045376922,0.0,-0.005415721924993901,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,COL4A2_ITGA9_ITGB1,Col4a2  - (Itga9+Itgb1),Col4a2,ITGA9_ITGB1,COLLAGEN,ECM-Receptor,0.0128681758340027,0.0,0.0076351679428255,0.0,-0.005233007891177199,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,IL34_CSF1R,Il34  - Csf1r,Il34,Csf1r,CSF,Secreted Signaling,0.0,1.0,0.0052231362105625,0.0,0.0052231362105625,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,SEMA6B_PLXNA4,Sema6b  - Plxna4,Sema6b,Plxna4,SEMA6,Cell-Cell Contact,0.0167848288297173,0.0,0.0116139396532087,0.0,-0.005170889176508601,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,F11R_JAM2,F11r  - Jam2,F11r,Jam2,JAM,Cell-Cell Contact,0.014184208542146,0.0,0.0090664909963251,0.0,-0.0051177175458209,PVN_PVH,True,Microglia_autocrine
Microglia,Microglia,JAM2_F11R,Jam2  - F11r,Jam2,F11r,JAM,Cell-Cell Contact,0.014184208542146,0.0,0.0090664909963251,0.0,-0.0051177175458209,PVN_PVH,True,Microglia_autocrine
Microglia,Microglia,APP_CD74,App  - Cd74,App,Cd74,APP,Cell-Cell Contact,0.0,1.0,0.0049656495495502,0.0,0.0049656495495502,PVN_PVH,True,Microglia_autocrine
GABAergic_Neuron,Microglia,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,Cell-Cell Contact,0.0178541739713771,0.0,0.0128921312286657,0.0,-0.004962042742711401,PVN_PVH,True,Microglia_incoming
Microglia,Glutamatergic_Neuron,ENTPD1_ADORA1,Entpd1  - Adora1,Entpd1,Adora1,CD39,Cell-Cell Contact,0.0049211879143279,0.0,0.0,1.0,-0.0049211879143279,PVN_PVH,True,Microglia_outgoing
GABAergic_Neuron,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,Secreted Signaling,0.0,1.0,0.0048994851846584,0.0,0.0048994851846584,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,LGALS9_HAVCR2,Lgals9  - Havcr2,Lgals9,Havcr2,GALECTIN,Secreted Signaling,0.0098099745189423,0.0,0.0145819983381085,0.0,0.0047720238191662,PVN_PVH,True,Microglia_autocrine
Microglia,Microglia,LGALS9_IGHM,Lgals9  - Ighm,Lgals9,Ighm,GALECTIN,Secreted Signaling,0.0070954963558019,0.0,0.0118520347767435,0.0,0.0047565384209416,PVN_PVH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,LAMC1_ITGA6_ITGB1,Lamc1  - (Itga6+Itgb1),Lamc1,ITGA6_ITGB1,LAMININ,ECM-Receptor,0.0133694093012088,0.0,0.0087944832065114,0.0,-0.004574926094697399,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,LAMC1_ITGA9_ITGB1,Lamc1  - (Itga9+Itgb1),Lamc1,ITGA9_ITGB1,LAMININ,ECM-Receptor,0.0127420004175672,0.0,0.0082134214696069,0.0,-0.004528578947960299,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,COL4A2_ITGA9_ITGB1,Col4a2  - (Itga9+Itgb1),Col4a2,ITGA9_ITGB1,COLLAGEN,ECM-Receptor,0.0121202377495063,0.0,0.0083122753543917,0.0,-0.0038079623951146006,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,DLK1_NOTCH1,Dlk1  - Notch1,Dlk1,Notch1,NOTCH,Cell-Cell Contact,0.0068918721543231,0.0,0.0033066222836347,0.0,-0.0035852498706884,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,FGF1_FGFR2,Fgf1  - Fgfr2,Fgf1,Fgfr2,FGF,Secreted Signaling,0.0076231258683493,0.0,0.0042085674057725,0.0,-0.0034145584625768005,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,PTN_NCL,Ptn  - Ncl,Ptn,Ncl,PTN,Secreted Signaling,0.0172262784170871,0.0,0.0138570476407807,0.02,-0.0033692307763063985,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,JAM3_F11R,Jam3  - F11r,Jam3,F11r,JAM,Cell-Cell Contact,0.020801140413031,0.0,0.0174831169770678,0.0,-0.0033180234359631994,PVN_PVH,True,Microglia_incoming
Microglia,Glutamatergic_Neuron,F11R_JAM3,F11r  - Jam3,F11r,Jam3,JAM,Cell-Cell Contact,0.020801140413031,0.0,0.0174831169770678,0.0,-0.0033180234359631994,PVN_PVH,True,Microglia_outgoing
Microglia,Microglia,JAM2_ITGAV_ITGB1,Jam2  - (Itgav+Itgb1),Jam2,ITGAV_ITGB1,JAM,Cell-Cell Contact,0.0084691491154025,0.0,0.005199437572133,0.0,-0.0032697115432695004,PVN_PVH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,TNR_SDC4,Tnr  - Sdc4,Tnr,Sdc4,TENASCIN,ECM-Receptor,0.0095816706110189,0.0,0.0063336281486031,0.0,-0.003248042462415799,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),Sema3c,NRP1_PLXNA4,SEMA3,Secreted Signaling,0.00518897785232,0.0,0.0021245205981448,0.0,-0.0030644572541752,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,THY1_ITGAM_ITGB2,Thy1  - (Itgam+Itgb2),Thy1,ITGAM_ITGB2,THY1,Cell-Cell Contact,0.0472516405695455,0.0,0.0443255181710502,0.0,-0.0029261223984952955,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),Sema3c,NRP1_PLXNA4,SEMA3,Secreted Signaling,0.0028869922490559,0.0,0.0,1.0,-0.0028869922490559,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA6A_PLXNA4,Sema6a  - Plxna4,Sema6a,Plxna4,SEMA6,Cell-Cell Contact,0.0313253080358979,0.01,0.0284627701478918,0.0,-0.0028625378880060975,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,TNR_SDC4,Tnr  - Sdc4,Tnr,Sdc4,TENASCIN,ECM-Receptor,0.0114445806638792,0.0,0.0087297090752566,0.0,-0.0027148715886225992,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,FGF9_FGFR2,Fgf9  - Fgfr2,Fgf9,Fgfr2,FGF,Secreted Signaling,0.0026531777307131,0.0,0.0,1.0,-0.0026531777307131,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,JAM3_ITGAM_ITGB2,Jam3  - (Itgam+Itgb2),Jam3,ITGAM_ITGB2,JAM,Cell-Cell Contact,0.0120958632016076,0.0,0.0096302785414465,0.0,-0.002465584660161101,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,Cell-Cell Contact,0.0149097511330521,0.0,0.0124854107268493,0.0,-0.0024243404062027994,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,IL34_CSF1R,Il34  - Csf1r,Il34,Csf1r,CSF,Secreted Signaling,0.0095876132774757,0.0,0.0071805257547712,0.0,-0.002407087522704501,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA4G_PLXNB2,Sema4g  - Plxnb2,Sema4g,Plxnb2,SEMA4,Cell-Cell Contact,0.0022620276520291,0.0,0.0045627099946081,0.0,0.0023006823425789995,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,COL4A1_ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),Col4a1,ITGA9_ITGB1,COLLAGEN,ECM-Receptor,0.0041794113458386,0.0,0.0020659382085237,0.0,-0.0021134731373149,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA3C_NRP2_PLXNA4,Sema3c  - (Nrp2+Plxna4),Sema3c,NRP2_PLXNA4,SEMA3,Secreted Signaling,0.0030695206571743,0.04,0.0010973822242005,0.0,-0.0019721384329738,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,ICAM1_ITGAM_ITGB2,Icam1  - (Itgam+Itgb2),Icam1,ITGAM_ITGB2,ICAM,Cell-Cell Contact,0.0350035898770466,0.0,0.0330405447501327,0.0,-0.0019630451269138996,PVN_PVH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,JAG2_NOTCH2,Jag2  - Notch2,Jag2,Notch2,NOTCH,Cell-Cell Contact,0.0086976611030891,0.0,0.0070811275978489,0.0,-0.0016165335052402002,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,LAMC1_ITGA6_ITGB1,Lamc1  - (Itga6+Itgb1),Lamc1,ITGA6_ITGB1,LAMININ,ECM-Receptor,0.0044427316989054,0.0,0.0028634410813803,0.0,-0.0015792906175250998,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,LAMC1_ITGA9_ITGB1,Lamc1  - (Itga9+Itgb1),Lamc1,ITGA9_ITGB1,LAMININ,ECM-Receptor,0.0042324430445571,0.0,0.0026731933568911,0.0,-0.001559249687666,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,CD80_CD274,Cd80  - Cd274,Cd80,Cd274,CD80,Cell-Cell Contact,0.0,1.0,0.00153360928028,0.0,0.00153360928028,PVN_PVH,True,Microglia_autocrine
GABAergic_Neuron,Microglia,SEMA4A_NRP1_PLXNA4,Sema4a  - (Nrp1+Plxna4),Sema4a,NRP1_PLXNA4,SEMA4,Cell-Cell Contact,0.0096837502864343,0.0,0.0081893516696611,0.0,-0.0014943986167731994,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,Cell-Cell Contact,0.0334336211474524,0.0,0.0348753034567561,0.0,0.0014416823093037004,PVN_PVH,True,Microglia_autocrine
Microglia,Glutamatergic_Neuron,PROS1_TYRO3,Pros1  - Tyro3,Pros1,Tyro3,PROS,Secreted Signaling,0.0,1.0,0.0013835047916441,0.0,0.0013835047916441,PVN_PVH,True,Microglia_outgoing
GABAergic_Neuron,Microglia,JAG2_NOTCH2,Jag2  - Notch2,Jag2,Notch2,NOTCH,Cell-Cell Contact,0.0066358274250343,0.0,0.0052763703345698,0.0,-0.0013594570904645002,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,SEMA6B_PLXNA4,Sema6b  - Plxna4,Sema6b,Plxna4,SEMA6,Cell-Cell Contact,0.0116883021570022,0.02,0.0103468109184165,0.0,-0.0013414912385857,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,THY1_ITGAM_ITGB2,Thy1  - (Itgam+Itgb2),Thy1,ITGAM_ITGB2,THY1,Cell-Cell Contact,0.0206594485884931,0.0,0.0194147981433591,0.0,-0.001244650445133999,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,SEMA4G_PLXNB2,Sema4g  - Plxnb2,Sema4g,Plxnb2,SEMA4,Cell-Cell Contact,0.006972361380478,0.0,0.0057384059998493,0.0,-0.0012339553806286997,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,TNFSF13B_TNFRSF13B,Tnfsf13b  - Tnfrsf13b,Tnfsf13b,Tnfrsf13b,BAFF,Secreted Signaling,0.0,1.0,0.0012057214446446,0.0,0.0012057214446446,PVN_PVH,True,Microglia_autocrine
GABAergic_Neuron,Microglia,SEMA4A_PLXNB2,Sema4a  - Plxnb2,Sema4a,Plxnb2,SEMA4,Cell-Cell Contact,0.0072518327030586,0.0,0.006150431580735,0.0,-0.0011014011223236001,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,TNF_TNFRSF1A,Tnf  - Tnfrsf1a,Tnf,Tnfrsf1a,TNF,Secreted Signaling,0.0099721893411924,0.0,0.0109242500960356,0.0,0.0009520607548431995,PVN_PVH,True,Microglia_autocrine
