source,target,pathway_name,prob_young,prob_aged,delta_prob,region
GABAergic_Neuron,GABAergic_Neuron,AGRN,0.0098197707896952,0.0,-0.0098197707896952,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,CADM,0.228272122671608,0.234088681437452,0.005816558765843999,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,CDH,0.181633302250308,0.0573960582068343,-0.1242372440434737,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,CNTN,0.0574644231550765,0.0681398674724877,0.010675444317411194,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,EPHA,0.176615078403473,0.249333933415077,0.072718855011604,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,EPHB,0.0721167994220068,0.0523439653444004,-0.019772834077606397,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,FGF,0.0,0.0222847568997979,0.0222847568997979,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,GDF,0.0017453260490792,0.0,-0.0017453260490792,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,JAM,0.0143949345437954,0.0124738206095447,-0.0019211139342506997,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,MPZ,0.0004865076314201,0.000411466249526,-7.504138189410003e-05,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,NEGR,0.410356604378547,0.399198684925164,-0.011157919453382958,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,NGL,0.0503469696219965,0.0,-0.0503469696219965,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,NPY,0.0,0.0073614252906993,0.0073614252906993,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,NRG,0.181601566447696,0.0,-0.181601566447696,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,NRXN,1.25570150103844,1.23922849570771,-0.01647300533073004,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,SEMA4,0.0358249868270045,0.0138780764061499,-0.0219469104208546,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,SEMA6,0.051330615454005,0.0558568203861527,0.004526204932147698,ARC_ARH
GABAergic_Neuron,GABAergic_Neuron,SOMATOSTATIN,0.0040431317580496,0.004441574471657,0.0003984427136074003,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,CADM,0.0,0.0533928295784019,0.0533928295784019,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,CDH,0.0,0.0732372059544889,0.0732372059544889,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,CNTN,0.23830915954337,0.268420468129595,0.030111308586225016,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,COLLAGEN,0.0,0.0035498855349356,0.0035498855349356,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,EGF,0.0,0.00727802733658,0.00727802733658,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,ENHO,0.0,0.003619818243619,0.003619818243619,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,EPHA,0.0,0.0415086537840197,0.0415086537840197,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,EPHB,0.0142331999237652,0.0401085610484668,0.025875361124701603,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,FGF,0.0,0.022181372808062,0.022181372808062,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,GAS,0.0,0.0006677863990099,0.0006677863990099,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,GDF,0.0011815960804997,0.0,-0.0011815960804997,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,L1CAM,0.0525791095216382,0.0588832149590989,0.006304105437460704,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,LAMININ,0.0154751962945161,0.0177894603726569,0.0023142640781407976,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,MELANOCORTIN,0.0002157926092722,0.0002319739862707,1.6181376998500004e-05,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,NCAM,0.606590394916928,0.899903458452056,0.293313063535128,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,NGL,0.119388838736015,0.0,-0.119388838736015,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,NPY,0.0,0.0150786913761772,0.0150786913761772,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,NRG,0.312515727540466,0.629833797164594,0.31731806962412795,ARC_ARH
GABAergic_Neuron,Glutamatergic_Neuron,NRXN,1.3823252671534,1.31916033857731,-0.06316492857609002,ARC_ARH
