source,target,interaction_name,delta_prob_female,log2FC_female,status_female,delta_prob_male,log2FC_male,status_male,direction_consistent
Astrocyte,Astrocyte,BMP7_BMPR1A_BMPR2,0.0,,,0.0484009254348069,35.49431558126782,gained,False
Astrocyte,Astrocyte,BMP7_BMPR1B_BMPR2,0.0,,,0.0581545836289915,35.75917385544139,gained,False
Astrocyte,Astrocyte,CNTN1_NRCAM,-0.028932956151176026,-0.11645281815213872,shared,0.011496629951351034,0.04722881771175148,shared,False
Astrocyte,Astrocyte,COL4A5_ITGAV_ITGB8,-0.005055282554500197,-0.12946496444507788,shared,-0.009872906012292001,-0.2539202571507458,shared,True
Astrocyte,Astrocyte,COL4A5_SDC4,-0.00856588463868481,-0.15521917772345414,shared,-0.008579715691873699,-0.16673446527939528,shared,True
Astrocyte,Astrocyte,ENHO_GPR19,-0.0045262733073815065,-0.08916282306453799,shared,-0.003041543813931194,-0.05858964166753058,shared,True
Astrocyte,Astrocyte,ENTPD1_ADORA1,0.0257676404667049,1.2159606397937148,shared,0.027437361086063,1.3403028832480848,shared,True
Astrocyte,Astrocyte,FGF1_FGFR1,-0.0935878635703892,-1.4236371865420197,shared,-0.008621343305838997,-0.08737850899116377,shared,True
Astrocyte,Astrocyte,FGF1_FGFR2,-0.03483416215626198,-0.2365015628482543,shared,-0.022105069839314012,-0.14956966672461983,shared,True
Astrocyte,Astrocyte,FGF1_FGFR3,-0.023726461791050008,-0.1369520973183526,shared,-0.011146046368463003,-0.06518496231446995,shared,True
Astrocyte,Astrocyte,GAS6_AXL,0.0151111242219901,33.81489194561716,gained,0.0,,,False
Astrocyte,Astrocyte,GAS6_MERTK,0.0662169295125729,35.94648106322913,gained,0.0,,,False
Astrocyte,Astrocyte,JAM2_ITGAV_ITGB1,-0.004651857091131001,-0.07273096048820539,shared,-0.003442658333708798,-0.057877498742017496,shared,True
Astrocyte,Astrocyte,JAM2_JAM2,-0.0037030361949210167,-0.03553166142462554,shared,-0.006578531628491008,-0.06845768166666824,shared,True
Astrocyte,Astrocyte,LAMA2_DAG1,-0.000821528807498001,-0.004889517005382119,shared,-0.034680675794294985,-0.1926537647123942,shared,True
Astrocyte,Astrocyte,LAMA2_ITGA6_ITGB1,-0.0035521016352299817,-0.03518655948078051,shared,0.011859911526726996,0.11984430694993733,shared,False
Astrocyte,Astrocyte,LAMA2_ITGA7_ITGB1,0.0,,,0.007979456317883105,0.14729086280623635,shared,False
Astrocyte,Astrocyte,LAMA2_ITGAV_ITGB8,-0.0058752470660020095,-0.03541729792982269,shared,-0.017317000215537004,-0.102876713157996,shared,True
Astrocyte,Astrocyte,MDK_ITGA6_ITGB1,0.0007802890019991959,0.034171116417774004,shared,0.0007615950401784963,0.03426421441880242,shared,True
Astrocyte,Astrocyte,MDK_LRP1,0.000297426932054895,0.0048285706408341495,shared,-0.001745001919458103,-0.028709185648510487,shared,False
Astrocyte,Astrocyte,MDK_NCL,-0.0003141271146744999,-0.02569470837188471,shared,0.0005842624775425007,0.04656039433552974,shared,False
Astrocyte,Astrocyte,MDK_PTPRZ1,0.003743511570756003,0.047402606193726694,shared,0.0005092123868330051,0.006669561371565197,shared,True
Astrocyte,Astrocyte,MDK_SDC2,0.00015095403456849565,0.003955098056520561,shared,-0.001995422983292701,-0.05356473346650729,shared,False
Astrocyte,Astrocyte,MDK_SDC4,-7.923878145879582e-05,-0.0013692295657208766,shared,-0.007664995601158492,-0.139367145746611,shared,True
Astrocyte,Astrocyte,MPZL1_MPZL1,-0.0026223178605662006,-0.21728911383204952,shared,0.00029714033947709703,0.025986321783903376,shared,False
Astrocyte,Astrocyte,NCAM1_FGFR1,-0.258568416042271,-37.911755105449906,lost,-0.007998087473414961,-0.04596494647559843,shared,True
Astrocyte,Astrocyte,NCAM1_NCAM1,-0.022960516371717032,-0.07649328477463806,shared,-0.00987134855109495,-0.032768632360325685,shared,True
Astrocyte,Astrocyte,NRXN1_NLGN1,-0.023491228099899952,-0.0670772471145757,shared,-0.007445822255990997,-0.02128897832862704,shared,True
Astrocyte,Astrocyte,PDGFD_PDGFRB,-0.004240537856576798,-0.42482848691249947,shared,-0.0067874715489973,-1.2811285916196586,shared,True
Astrocyte,Astrocyte,PSAP_GPR37,-0.00112205199161651,-0.01770910948790169,shared,-0.0020266001076122003,-0.03314754384152723,shared,True
Astrocyte,Astrocyte,PSAP_GPR37L1,0.005188774120414019,0.01916445562755094,shared,-0.006599417378225003,-0.02507658233313709,shared,False
Astrocyte,Astrocyte,PTN_PTPRZ1,0.0067535734684760484,0.025871881978126704,shared,0.002604358528388029,0.009990270810257839,shared,True
Astrocyte,Astrocyte,PTN_SDC2,-0.0009135445669659903,-0.006131852880161901,shared,-0.005657215702302987,-0.03767044315921361,shared,True
Astrocyte,Astrocyte,PTN_SDC3,-0.005106396999564,-0.03463271420918425,shared,-0.012064755850379999,-0.08375231101291315,shared,True
Astrocyte,Astrocyte,PTN_SDC4,-0.001962601739024017,-0.00944687780569566,shared,-0.020615483866349982,-0.10063167157711407,shared,True
Astrocyte,Astrocyte,PTPRM_PTPRM,-0.10681430975781803,-0.6808097410977241,shared,-0.005989700798075981,-0.03170402110061218,shared,True
Astrocyte,Astrocyte,SEMA4A_PLXNB1,0.0300636674058235,1.295223412290075,shared,0.08268859503382392,1.358853362786315,shared,True
Astrocyte,Astrocyte,SEMA4A_PLXNB2,0.0,,,0.0435448358878183,35.34178258436027,gained,False
Astrocyte,Astrocyte,SEMA4D_PLXNB1,0.0,,,0.0438678838558593,35.352446062733634,gained,False
Astrocyte,Astrocyte,VSIR_IGSF11,0.0510470891096701,35.571109644642036,gained,-0.020736463626540698,-0.5709925482144775,shared,False
Astrocyte,Astrocyte,WNT7A_FZD1_LRP6,0.0,,,-0.0071688513795874,-32.739094837588866,lost,False
Astrocyte,Astrocyte,WNT7A_FZD2_LRP6,0.0,,,0.0011717631409579989,0.21276382429668542,shared,False
Astrocyte,Astrocyte,WNT7A_FZD3_LRP6,0.0,,,0.0009845515604269004,0.17969607360781464,shared,False
Astrocyte,Astrocyte,WNT7B_FZD1_LRP6,-2.691059127560118e-05,-0.004219916527526667,shared,-0.0087539026257861,-33.027279190369654,lost,True
Astrocyte,Astrocyte,WNT7B_FZD2_LRP6,0.006575576685439998,0.7622669098705804,shared,0.017636661578080103,1.5650196540331704,shared,True
Astrocyte,Astrocyte,WNT7B_FZD3_LRP6,8.784278537629989e-05,0.013389477982185401,shared,0.017156405830671802,1.5325916615882886,shared,True
Astrocyte,Endothelial,ANGPT1_TEK,0.00011025942796670518,0.0023602737335797212,shared,0.008723990891571706,0.18953131870416645,shared,True
Astrocyte,Endothelial,BMP7_ACVR1_ACVR2A,0.0,,,0.0143188654133254,33.73719813100271,gained,False
Astrocyte,Endothelial,BMP7_ACVR1_BMPR2,0.0,,,0.0359753794823043,35.06629085406835,gained,False
Astrocyte,Endothelial,CD46_JAG1,-0.00039514981775629933,-0.03723166207930064,shared,0.00032288560781149923,0.03830465933422602,shared,False
Astrocyte,Endothelial,COL4A5_ITGA1_ITGB1,-0.007830398525612306,-0.14018040913070665,shared,-0.004681331800189398,-0.08762801763549091,shared,True
Astrocyte,Endothelial,GAS6_MERTK,0.0158117575218166,33.88027868523079,gained,0.0,,,False
Astrocyte,Endothelial,JAM2_F11R,0.0023701791060870003,0.024399410255073445,shared,-0.01169493170445099,-0.12113261384624051,shared,False
Astrocyte,Endothelial,JAM2_ITGAV_ITGB1,-0.0939698924632216,-36.45147954661957,lost,-0.010595061445986709,-0.1778877174125354,shared,True
Astrocyte,Endothelial,JAM2_JAM2,-0.005489787233800003,-0.039775430549819024,shared,-0.005394577131935002,-0.0412443587695216,shared,True
Astrocyte,Endothelial,LAMA2_DAG1,-0.008688807881814004,-0.14646236527397044,shared,-0.085074601292264,-0.9710542484935324,shared,True
Astrocyte,Endothelial,LAMA2_ITGA1_ITGB1,-0.009263529366509982,-0.04229613970770046,shared,0.005670789357616002,0.02631576623869497,shared,False
Astrocyte,Endothelial,LAMA2_ITGA6_ITGB1,-0.006097735509995983,-0.026862893186992746,shared,0.007052994875177965,0.032198343280092225,shared,False
Astrocyte,Endothelial,MDK_ITGA4_ITGB1,0.0,,,-0.0336263846082262,-34.96887462257225,lost,False
Astrocyte,Endothelial,MDK_ITGA6_ITGB1,0.002048947495507006,0.0333321458896504,shared,-0.0030638295132886934,-0.05250515400114658,shared,False
Astrocyte,Endothelial,MDK_NCL,0.00012447132628070484,0.003355482061575654,shared,0.001566592620538397,0.04145574267696907,shared,True
Astrocyte,Endothelial,MIF_ACKR3,0.0185160176722263,34.10805479364478,gained,-0.0011203220715468986,-0.10507093808816241,shared,False
Astrocyte,Endothelial,MPZL1_MPZL1,-0.010045886037095594,-0.1804384571045888,shared,0.0011377025560039,0.020920194507689137,shared,False
Astrocyte,Endothelial,PTN_NCL,-0.0009714621569769932,-0.0066771651042688614,shared,0.006212863332546004,0.0408830993541778,shared,False
Astrocyte,Endothelial,PTN_SDC3,0.0,,,-0.180921003009009,-37.39656894303859,lost,False
Astrocyte,Endothelial,PTPRM_PTPRM,-0.087039182374342,-0.39275997621985304,shared,-0.013906453071466984,-0.05709089856172961,shared,True
Astrocyte,Endothelial,SEMA4A_NRP1_PLXNA2,-0.014635008381138695,-0.2745951419151982,shared,0.10397772081662901,1.1509852100981794,shared,False
Astrocyte,Endothelial,SEMA4A_NRP1_PLXNA4,0.0,,,0.0957826415510984,36.479045172519804,gained,False
Astrocyte,Endothelial,TGFB2_ACVR1_TGFBR1,0.0238935648621249,34.47590306539998,gained,-0.008616553700640003,-0.42114990759015786,shared,False
Astrocyte,Endothelial,TGFB2_TGFBR1_TGFBR2,0.0299004361837529,34.79944747935018,gained,0.0005353474480606982,0.028157623981062516,shared,True
Astrocyte,Endothelial,VEGFA_VEGFR1,0.06359934249163995,0.24138301927161748,shared,0.071322809002622,0.2759533411096467,shared,True
Astrocyte,Endothelial,VEGFA_VEGFR1R2,0.098537408474424,0.340531734588758,shared,0.07422793070175698,0.25183526945833423,shared,True
Astrocyte,Endothelial,VEGFA_VEGFR2,0.10533097284858,0.4217965092487636,shared,0.07362373816106105,0.2885415903729106,shared,True
Astrocyte,Endothelial,VEGFB_VEGFR1,-0.0031455179834959934,-0.0353226052381028,shared,0.0017752580002989848,0.0199889862506645,shared,False
Astrocyte,Endothelial,WNT7A_FZD4_LRP5,0.0,,,-0.0050043961230093,-0.5514510211403666,shared,False
Astrocyte,Endothelial,WNT7A_FZD4_LRP6,0.0,,,0.0015471253351391975,0.1234447129267492,shared,False
Astrocyte,Endothelial,WNT7A_FZD6_LRP5,0.0,,,-0.004422464534967502,-0.3914338086210146,shared,False
Astrocyte,Endothelial,WNT7A_FZD6_LRP6,0.0,,,0.004357703870482701,0.2786697670324071,shared,False
Astrocyte,Endothelial,WNT7B_FZD4_LRP5,-0.0012432898996442999,-0.12537110894530382,shared,0.0141151151441705,0.7955317391916238,shared,False
Astrocyte,Endothelial,WNT7B_FZD4_LRP6,-0.0098094145844047,-0.7446328691135338,shared,0.0359666727809818,1.436215535315181,shared,False
Astrocyte,Endothelial,WNT7B_FZD6_LRP5,-0.0023791948409251987,-0.2104088514856061,shared,0.0208584533203793,0.9419389628627524,shared,False
Astrocyte,Endothelial,WNT7B_FZD6_LRP6,-0.012424429800255002,-0.8265135245911475,shared,0.04885857343310669,1.567809921714261,shared,False
Astrocyte,Ependymal,BMP7_BMPR1A_ACVR2A,0.0,,,0.0235528182359079,34.45518064621271,gained,False
Astrocyte,Ependymal,BMP7_BMPR1A_BMPR2,0.0,,,0.0250712633746279,34.54531564627519,gained,False
Astrocyte,Ependymal,COL4A5_ITGAV_ITGB8,0.0269086896952306,34.64735309032484,gained,0.0,,,False
Astrocyte,Ependymal,COL4A5_SDC4,-0.005845784993001299,-0.10211942826839057,shared,0.0025816042876986994,0.04766877504134945,shared,False
Astrocyte,Ependymal,ENHO_GPR19,-0.006915969162101812,-0.12381240574968656,shared,-0.148551989791294,-37.11217697336548,lost,True
Astrocyte,Ependymal,ENTPD1_ADORA1,0.0116582814805898,33.44063608898041,gained,-0.001544443145649197,-0.12801811677841005,shared,False
Astrocyte,Ependymal,ENTPD1_ADORA2B,0.0,,,-0.0121621212285558,-33.501675824075235,lost,False
Astrocyte,Ependymal,FGF1_FGFR1,0.018158565904157986,0.13596204846968815,shared,-0.058068818325683,-0.41375961678080264,shared,False
Astrocyte,Ependymal,FGF1_FGFR2,-0.030534642936444978,-0.1924922852273601,shared,-0.018436169969715976,-0.11458501908287935,shared,True
Astrocyte,Ependymal,FGF1_FGFR3,-0.008084665005225207,-0.18170461101940266,shared,-0.0554370948730798,-1.0206767909460712,shared,True
Astrocyte,Ependymal,JAM2_ITGAV_ITGB1,0.0762251382650083,36.149547811038836,gained,0.0,,,False
Astrocyte,Ependymal,JAM2_JAM2,-0.0011291987331429956,-0.02903771859763384,shared,-0.054886447225075,-35.67573090623661,lost,True
Astrocyte,Ependymal,JAM2_JAM3,0.0926484805245438,1.3077027503117151,shared,-0.0898467992382738,-1.2942876319774475,shared,False
Astrocyte,Ependymal,LAMA2_DAG1,-0.01534827255409199,-0.06904894317296015,shared,0.004159908360584996,0.018559301588248023,shared,False
Astrocyte,Ependymal,LAMA2_ITGAV_ITGB8,0.13076192889406,36.92815160761548,gained,0.0,,,False
Astrocyte,Ependymal,LRRC4B_PTPRF,0.191291610692605,37.476982647836394,gained,-0.211889182017335,-37.6245189766957,lost,False
Astrocyte,Ependymal,MDK_LRP1,-0.003085243809881094,-0.06739721347606507,shared,-0.007834618300231293,-0.19264116362851028,shared,True
Astrocyte,Ependymal,MDK_NCL,0.0020679037794786997,0.0348446807317559,shared,-0.0029254841567339096,-0.04952808847362605,shared,False
Astrocyte,Ependymal,MDK_PTPRZ1,-0.0021407118205046954,-0.031030337474672917,shared,-0.0034025330820855043,-0.05180959433465633,shared,True
Astrocyte,Ependymal,MDK_SDC2,-0.0031969784703493043,-0.07599211301974762,shared,-0.006262311489932303,-0.14989670491076995,shared,True
Astrocyte,Ependymal,MDK_SDC4,0.0030620390688020915,0.05100415794851773,shared,0.004266701804334194,0.07371936655616626,shared,True
Astrocyte,Ependymal,MIF_ACKR3,0.0212608060683382,34.30747724424648,gained,0.00014617450904609933,0.01125477887850607,shared,True
Astrocyte,Ependymal,MPZL1_MPZL1,0.016588823331459,33.9494925064977,gained,0.0,,,False
Astrocyte,Ependymal,NCAM1_FGFR1,0.03658184655927804,0.16131361856941664,shared,-0.074177509036572,-0.31627885734155786,shared,False
Astrocyte,Ependymal,PSAP_GPR37,0.0,,,-0.0926856588680864,-36.43162707867344,lost,False
Astrocyte,Ependymal,PSAP_GPR37L1,0.007432695410287016,0.029344912322298487,shared,-0.019664913494901015,-0.0814634024855785,shared,False
Astrocyte,Ependymal,PTN_NCL,0.0038401693387040137,0.018133631980778945,shared,-0.006789139681189993,-0.031386295225605196,shared,False
Astrocyte,Ependymal,PTN_PTPRZ1,-0.007244281457842006,-0.030577296637437367,shared,-0.007551081986048036,-0.0322680608631809,shared,True
Astrocyte,Ependymal,PTN_SDC2,-0.011503032196838014,-0.07126384903578516,shared,-0.01897666750267399,-0.1150604392518204,shared,True
Astrocyte,Ependymal,PTN_SDC4,0.006479631724841006,0.03033138239550588,shared,0.01312453712936501,0.061615866672560464,shared,True
Astrocyte,Ependymal,PTPRM_PTPRM,-0.248929567000245,-37.85694664263234,lost,-0.07643915137207802,-0.43064085850781597,shared,True
Astrocyte,Ependymal,SEMA4A_PLXNB1,0.0172779636775914,0.5273840714541266,shared,0.0513956834106308,35.58092814521606,gained,True
Astrocyte,Ependymal,SEMA4A_PLXNB2,0.0121737257697688,0.20489971845383215,shared,0.1290441703974219,1.2677539691732203,shared,True
Astrocyte,Ependymal,SEMA4D_PLXNB2,0.0,,,0.0765360741069192,36.15542084922291,gained,False
Astrocyte,Ependymal,TGFB2_ACVR1B_TGFBR2,-0.0262126606453299,-34.60954474689137,lost,-0.026408999210558,-34.62031057942522,lost,True
Astrocyte,Ependymal,VSIR_IGSF11,0.0525578587782596,35.613187449962545,gained,-0.0380090108255215,-1.6776322733357047,shared,False
Astrocyte,Ependymal,WNT7A_FZD1_LRP6,0.0,,,-0.0117292542676985,-33.449392240411335,lost,False
Astrocyte,Ependymal,WNT7A_FZD3_LRP5,0.0,,,0.0208014718362008,34.27596656075472,gained,False
Astrocyte,Ependymal,WNT7A_FZD3_LRP6,0.0,,,-0.009327101027336797,-0.4622775458803014,shared,False
Astrocyte,Ependymal,WNT7B_FZD1_LRP6,0.0,,,-0.0143017103815592,-33.73546864223246,lost,False
Astrocyte,Ependymal,WNT7B_FZD3_LRP5,-0.0280167151205404,-34.705568762755334,lost,0.0625062769805492,35.86328202369539,gained,False
Astrocyte,Ependymal,WNT7B_FZD3_LRP6,0.008891441070119598,0.3773387862024564,shared,0.03216681138645609,0.8326318887117748,shared,True
