sex,pathway_name,prob_young,prob_aged,delta_prob
Female,ACTIVIN,0.1687952610491103,0.1439411049873225,-0.024854156061787813
Female,AGRN,7.811802344479021,8.713366166542686,0.9015638220636646
Female,ANGPT,0.4132174082006843,0.3958204113723672,-0.017396996828317135
Female,ANGPTL,0.3847826860223483,0.2851761042385586,-0.09960658178378967
Female,APP,0.4195628547742706,0.8432353110390904,0.42367245626481986
Female,APRIL,0.0,0.0118248235135389,0.0118248235135389
Female,BAFF,0.0,0.0140803534675416,0.0140803534675416
Female,BMP,8.20959573342117,7.288815242112693,-0.9207804913084763
Female,CADM,7.30476978459774,9.505600659696245,2.2008308750985055
Female,CCK,0.0175771081647868,0.0456181824732025,0.0280410743084157
Female,CCL,0.562643076151784,0.581255828066126,0.018612751914341974
Female,CD39,3.143132964429168,3.179347581737758,0.03621461730858977
Female,CD46,0.7063292091047795,0.7770996565153866,0.07077044741060712
Female,CD80,0.0,0.0160429758710765,0.0160429758710765
Female,CDH,7.725444121528284,5.568064103048495,-2.157380018479789
Female,CDH5,0.361921552127458,0.357362436226329,-0.004559115901129007
Female,CHEMERIN,0.1767566901284891,0.2651615763407436,0.08840488621225451
Female,CLDN,0.514533113889331,0.484468965361451,-0.030064148527879975
Female,CNTN,12.391924497006832,11.619841540793063,-0.7720829562137688
Female,COLLAGEN,57.65746591181754,66.82011477201556,9.162648860198018
Female,COMPLEMENT,0.0,0.255474988876523,0.255474988876523
Female,CSF,1.5911488500424,1.535329317439283,-0.055819532603117006
Female,CSPG4,0.70873003002969,0.65563520668811,-0.05309482334158
Female,CX3C,1.2771943283431002,1.1809973562871523,-0.0961969720559479
Female,CXCL,1.4954358738161255,1.9017975230066233,0.4063616491904978
Female,EDN,0.4090918990552253,0.2585817394845243,-0.15051015957070102
Female,EGF,2.2345405308630824,2.5287610926536264,0.294220561790544
Female,ENHO,1.2398599668961972,1.188236203791787,-0.05162376310441008
Female,EPHA,10.367015126109425,10.158301649180448,-0.20871347692897757
Female,EPHB,10.527941979649201,9.120413057993884,-1.4075289216553166
Female,ESAM,2.079774622530623,2.06847029169509,-0.011304330835533172
Female,FGF,21.934895919581578,21.224534533399236,-0.7103613861823419
Female,FN1,5.192856931184258,5.659856359987023,0.46699942880276524
Female,GALECTIN,0.8978470381457954,0.494696489439003,-0.40315054870679234
Female,GAS,9.766480596872693,12.340276064658731,2.573795467786038
Female,GDF,1.7477412881507888,0.9334357478405066,-0.8143055403102821
Female,GRN,3.2510484007726643,2.975335901034693,-0.2757124997379714
Female,HH,0.0,0.1197117788448736,0.1197117788448736
Female,HSPG,1.8642733009833432,2.503698570000515,0.639425269017172
Female,ICAM,0.2546466671843804,0.30415558178320967,0.04950891459882928
Female,IGF,2.611704673421134,0.9067610869058523,-1.7049435865152818
Female,JAM,34.576446148793984,34.85692545699602,0.2804793082020325
Female,KIT,0.3330115548692343,0.2764806309144082,-0.05653092395482606
Female,L1CAM,0.8605436423477579,0.904876338194996,0.04433269584723809
Female,LAMININ,119.94234905998323,110.5164528573848,-9.425896202598423
Female,MAG,0.487935793319431,0.476936163558445,-0.010999629760986007
Female,MIF,2.337694356194287,4.654313760376874,2.3166194041825867
Female,MK,14.562106055828698,23.09092870678388,8.528822650955183
Female,MPZ,4.374993452060462,3.8270948978689177,-0.5478985541915442
Female,NCAM,34.548291049265,30.249948259579934,-4.298342789685069
Female,NECTIN,3.8347072123296906,4.191616358146746,0.35690914581705524
Female,NEGR,5.235574026948035,5.719796745009213,0.48422271806117845
Female,NGL,7.557480341111854,6.085404458662096,-1.472075882449758
Female,NOTCH,17.1160642566444,17.832285433479168,0.7162211768347682
Female,NRG,17.523801465111973,19.477071288974837,1.9532698238628647
Female,NRXN,53.46380514502201,45.16517623076149,-8.298628914260519
Female,NT,2.6090653447413024,2.2582539734675953,-0.3508113712737071
Female,OCLN,0.983828929603214,0.6543032655888742,-0.3295256640143398
Female,OPIOID,0.2342140537851857,0.4362996804555465,0.2020856266703608
Female,OSM,0.0,0.3699871825891794,0.3699871825891794
Female,PACAP,0.646942995448192,0.718260810990444,0.07131781554225203
Female,PDGF,3.015649051863987,3.7736234890085214,0.7579744371445343
Female,PECAM1,0.385201594610806,0.373142997274985,-0.012058597335820986
Female,PROS,1.3963770224467447,2.437979289239553,1.0416022667928084
Female,PSAP,15.504148348644064,18.91785564395919,3.4137072953151257
Female,PTN,66.4689625776841,67.09789730057338,0.6289347228892836
Female,PTPRM,14.90133860526403,11.387007200365003,-3.5143314048990266
Female,RELN,0.1321172790511258,0.0767213965856331,-0.05539588246549271
Female,SEMA3,12.304575917210204,9.89448116821336,-2.410094748996844
Female,SEMA4,13.984395143488356,15.876763862726222,1.892368719237865
Female,SEMA5,3.896876415908124,3.3265799046255666,-0.5702965112825575
Female,SEMA6,17.056404630672738,12.80117511780553,-4.255229512867208
Female,SEMA7,2.4992818724302754,2.211111178416504,-0.2881706940137714
Female,TENASCIN,9.065500168663656,8.636387028902398,-0.42911313976125776
Female,TGFb,2.4981251347470317,3.0750755754280434,0.5769504406810118
Female,THBS,2.6947552269837165,3.6176003996556987,0.9228451726719822
Female,THY1,0.408048857787336,0.5132326778976111,0.10518382011027505
Female,TNF,0.2995776759388035,0.5040701336917929,0.20449245775298935
Female,VCAM,0.6410711789505226,1.3870688773377358,0.7459976983872132
Female,VEGF,4.836589568704543,7.10944403823293,2.2728544695283865
Female,VISFATIN,4.630534946692199,3.769788010281831,-0.8607469364103681
Female,VISTA,1.2936583513716795,1.6376224958675025,0.343964144495823
Female,VTN,7.852322050427234,10.862866783573333,3.010544733146099
Female,WNT,3.6881692233195,2.5005573772318805,-1.1876118460876195
Female,ncWNT,3.0576160327735824,2.853276630510958,-0.2043394022626246
Male,ACTIVIN,0.1910630332690614,0.1585311944861934,-0.032531838782868
Male,AGRN,8.664072062742186,8.921955511991001,0.25788344924881557
Male,ANGPT,0.26360194067453113,0.2961208914487078,0.03251895077417666
Male,ANGPTL,0.2709761551819611,0.2461736895897981,-0.02480246559216301
Male,BAFF,0.0,0.0166188088186396,0.0166188088186396
Male,BMP,8.578351682964488,7.58990063248464,-0.9884510504798483
Male,CADM,4.68158693802665,8.149073822741746,3.467486884715096
Male,CCK,0.0437822182828812,0.0412498259010355,-0.0025323923818457023
Male,CCL,0.235158609858037,0.517095083289693,0.281936473431656
Male,CD39,3.961854449091137,2.9249574668674607,-1.0368969822236762
Male,CD46,0.6274017198758275,0.4960352206430953,-0.1313664992327322
Male,CDH,8.524451376265102,7.595716728791658,-0.9287346474734441
Male,CDH5,0.346921708243084,0.340049858847261,-0.006871849395822971
Male,CHEMERIN,0.6159498744134032,0.2401636675706656,-0.3757862068427376
Male,CLDN,0.507297324636516,0.469786036879175,-0.03751128775734103
Male,CNTN,12.16593538466533,11.917220355325487,-0.24871502933984324
Male,COLLAGEN,66.03594330360724,57.49902515229205,-8.536918151315191
Male,COMPLEMENT,0.0235138542385724,0.173688329721251,0.1501744754826786
Male,CSF,1.449285341054211,1.58555525671683,0.13626991566261903
Male,CSPG4,0.717168374072657,0.685637351882176,-0.031531022190480984
Male,CX3C,1.4535016319483816,1.4526736164679879,-0.0008280154803936846
Male,CXCL,1.2557086403114646,1.2978099850308464,0.04210134471938187
Male,EDN,0.6761867993761186,1.1943655519733987,0.5181787525972801
Male,EGF,3.08067451155684,1.628122397072496,-1.452552114484344
Male,ENHO,1.560777586351998,0.9667403841840811,-0.5940372021679168
Male,EPHA,9.833057013759651,8.717870651729672,-1.115186362029979
Male,EPHB,13.498795938619955,11.41658135389572,-2.082214584724234
Male,ESAM,1.982132412324312,1.994763581683509,0.012631169359196948
Male,FGF,21.20490813140855,21.819260439134187,0.6143523077256354
Male,FN1,5.528421029906073,4.838074245609525,-0.6903467842965476
Male,GALECTIN,0.8131414209377889,0.7563369823229327,-0.05680443861485618
Male,GAS,12.85761387292171,12.129944462106227,-0.7276694108154835
Male,GDF,1.772131923295382,0.7915073971033911,-0.9806245261919909
Male,GRN,4.174730835403917,3.665494849067666,-0.5092359863362508
Male,HSPG,2.942838936183078,1.424889421219696,-1.5179495149633817
Male,ICAM,0.1431866759819151,0.2506354334696343,0.1074487574877192
Male,IGF,2.550738438522797,2.403642475475081,-0.147095963047716
Male,JAM,41.931278862341976,28.892077278335762,-13.039201584006214
Male,KIT,0.2822298329718385,0.1891326152357041,-0.09309721773613441
Male,L1CAM,0.918020248176229,1.1516300387804104,0.2336097906041814
Male,LAMININ,141.1834812313153,123.296063076285,-17.887418155030318
Male,MAG,0.478386915612414,0.471804402642276,-0.006582512970137955
Male,MIF,3.162555923176704,3.457280638829416,0.29472471565271174
Male,MK,17.318364811884294,17.76846683764415,0.4501020257598576
