source,target,pathway_name,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Tanycyte,Ependymal,VISTA,0.0,1.0,0.0502562775596693,0.0,0.0502562775596693,35.54858476486645,Female,gained
Microglia,SMC,OSM,0.0,1.0,0.0502376990271304,0.0,0.0502376990271304,35.548051336735206,Female,gained
Glutamatergic_Neuron,Tanycyte,EGF,0.0,1.0,0.0501817809089782,0.0,0.0501817809089782,35.54644462058528,Female,gained
Tanycyte,SMC,GAS,0.432736388680384,0.0,0.382583545341126,0.0,-0.05015284333925801,-0.1777136159949637,Female,shared
Endothelial,Microglia,APP,0.0476653701692358,0.0,0.097779745235464,0.0,0.0501143750662282,1.0365941459844812,Female,shared
SMC,OPC,NOTCH,0.242064087791201,0.0,0.192236233770886,0.0,-0.049827854020315004,-0.33250877042307714,Female,shared
Glutamatergic_Neuron,Astrocyte,PTPRM,0.209904709704969,0.0,0.160152971155889,0.0,-0.049751738549079993,-0.39028397402047366,Female,shared
Astrocyte,Glutamatergic_Neuron,PTPRM,0.209904709704969,0.0,0.160152971155889,0.0,-0.049751738549079993,-0.39028397402047366,Female,shared
Endothelial,Astrocyte,EGF,0.219391586311547,0.0,0.169750790487162,0.0,-0.04964079582438502,-0.3700899065491632,Female,shared
Glutamatergic_Neuron,Microglia,APP,0.0468506094511675,0.0,0.0964174071044676,0.0,0.0495667976533001,1.041225817555638,Female,shared
Pericyte,Tanycyte,PTN,1.5184157942222,0.0,1.46885206157973,0.0,-0.04956373264247005,-0.04787780489328329,Female,shared
Tanycyte,GABAergic_Neuron,NECTIN,0.0386055097662935,0.0,0.0880707135730809,0.0,0.0494652038067874,1.189855591852656,Female,shared
GABAergic_Neuron,Tanycyte,NECTIN,0.0386055097662935,0.0,0.0880707135730809,0.0,0.0494652038067874,1.189855591852656,Female,shared
Microglia,Pericyte,OSM,0.0,1.0,0.0494530246520835,0.0,0.0494530246520835,35.52533971088038,Female,gained
OPC,OPC,SEMA6,0.181407679177907,0.01,0.132140184342477,0.0,-0.04926749483543,-0.45716626549058864,Female,shared
Ependymal,Tanycyte,BMP,0.185619415085707,0.0,0.136370473240068,0.0,-0.049248941845638994,-0.44481631108131053,Female,shared
Tanycyte,Astrocyte,SEMA4,0.0,1.0,0.0491949951399158,0.0,0.0491949951399158,35.51779249914023,Female,gained
GABAergic_Neuron,Microglia,SEMA6,0.373447072496487,0.0,0.324298044352127,0.0,-0.04914902814436001,-0.20358346498914748,Female,shared
Endothelial,Glutamatergic_Neuron,COLLAGEN,0.224219818297653,0.0,0.273292302305875,0.0,0.04907248400822198,0.28553102430052724,Female,shared
MOL,Tanycyte,PTN,1.34171348215843,0.0,1.29265286134128,0.0,-0.049060620817150014,-0.053741727302585196,Female,shared
Glutamatergic_Neuron,Endothelial,FGF,0.0804596955147136,0.0,0.0314419061263701,0.0,-0.0490177893883435,-1.3555775964888521,Female,shared
Tanycyte,Microglia,GAS,0.307363232410051,0.0,0.258423745019283,0.0,-0.04893948739076798,-0.25020595963305287,Female,shared
Endothelial,Ependymal,EDN,0.0638059527061924,0.0,0.0149511145789677,0.0,-0.048854838127224694,-2.0934379860637913,Female,shared
Tanycyte,Astrocyte,VISTA,0.0,1.0,0.0488082583621054,0.0,0.0488082583621054,35.50640622148742,Female,gained
MOL,Glutamatergic_Neuron,WNT,0.0487865027845964,0.0,0.0,1.0,-0.0487865027845964,-35.50576301761183,Female,lost
Microglia,Endothelial,JAM,0.654786067058882,0.0,0.606013903023501,0.0,-0.04877216403538098,-0.11167273154860949,Female,shared
Ependymal,Astrocyte,SEMA4,0.0,1.0,0.0487359900057594,0.0,0.0487359900057594,35.504268499989074,Female,gained
SMC,Astrocyte,NT,0.241643703367001,0.0,0.192961056734777,0.0,-0.04868264663222399,-0.3245716890460905,Female,shared
Glutamatergic_Neuron,Astrocyte,NGL,0.0486026606428388,0.0,0.0,1.0,-0.0486026606428388,-35.500316241976385,Female,lost
Endothelial,Microglia,JAM,0.860055153343886,0.0,0.811483280569667,0.0,-0.04857187277421904,-0.08386780902012467,Female,shared
Endothelial,Glutamatergic_Neuron,LAMININ,0.799392134003508,0.001,0.750990151799172,0.0,-0.048401982204336,-0.09010938784233033,Female,shared
Glutamatergic_Neuron,GABAergic_Neuron,NRG,0.904373557573473,0.0,0.855990741508435,0.0,-0.048382816065038026,-0.0793236182662114,Female,shared
Ependymal,Glutamatergic_Neuron,GAS,0.0,1.0,0.048330833793785,0.0,0.048330833793785,35.492224832967324,Female,gained
Pericyte,OPC,PDGF,0.0,1.0,0.0482036103678231,0.0,0.0482036103678231,35.48842215479218,Female,gained
Tanycyte,Glutamatergic_Neuron,COLLAGEN,0.147078973607405,0.0,0.195156259566525,0.0,0.04807728595912,0.40803872361659943,Female,shared
OPC,Microglia,NOTCH,0.0550089310562923,0.0,0.10301879995155,0.0,0.0480098688952577,0.9051698658989705,Female,shared
Microglia,Ependymal,TNF,0.0479335866201435,0.0,0.0,1.0,-0.0479335866201435,-35.48031784224059,Female,lost
Tanycyte,Ependymal,PTN,1.41891318617985,0.0,1.46684441060846,0.0,0.047931224428609864,0.04792952805287548,Female,shared
Astrocyte,Pericyte,FGF,0.0,1.0,0.0478936417613894,0.01,0.0478936417613894,35.47911508903686,Female,gained
OPC,MOL,MK,0.0,1.0,0.0476914237801246,0.0,0.0476914237801246,35.47301080250768,Female,gained
MOL,Endothelial,LAMININ,0.705300267578299,0.0,0.657711640827172,0.004,-0.04758862675112696,-0.10078238231136685,Female,shared
Tanycyte,Glutamatergic_Neuron,NGL,0.324121758860175,0.0,0.276537295624985,0.0,-0.04758446323519,-0.229061809692472,Female,shared
Endothelial,Pericyte,PTPRM,0.307539499911842,0.0,0.260159483887119,0.0,-0.04738001602472297,-0.24137541947482682,Female,shared
Pericyte,Endothelial,PTPRM,0.307539499911842,0.0,0.260159483887119,0.0,-0.04738001602472297,-0.24137541947482682,Female,shared
GABAergic_Neuron,OPC,PDGF,0.186078232518649,0.0,0.233457331296794,0.0,0.047379098778145,0.3272495960499095,Female,shared
OPC,MOL,NECTIN,0.160380495324435,0.0,0.113098167480498,0.0,-0.04728232784393699,-0.5039231454267921,Female,shared
GABAergic_Neuron,Astrocyte,NGL,0.0471113440517704,0.0,0.0,1.0,-0.0471113440517704,-35.45535544051874,Female,lost
OPC,GABAergic_Neuron,EGF,0.0,1.0,0.0471055553090479,0.0,0.0471055553090479,35.455178160423856,Female,gained
GABAergic_Neuron,Ependymal,COLLAGEN,0.208545674604461,0.0,0.255448759124472,0.0,0.04690308452001102,0.2926705377272526,Female,shared
GABAergic_Neuron,Microglia,APP,0.0431026830496967,0.0,0.0899238275158887,0.0,0.046821144466192004,1.0609257669037546,Female,shared
OPC,Endothelial,ANGPT,0.0,1.0,0.0468024519822194,0.0,0.0468024519822194,35.44586506354054,Female,gained
Endothelial,Endothelial,PTPRM,0.454952377527075,0.0,0.408249294630534,0.0,-0.046703082896541015,-0.15626514494187901,Female,shared
SMC,SMC,THBS,0.0,1.0,0.0465675737102616,0.0,0.0465675737102616,35.43860666491808,Female,gained
GABAergic_Neuron,SMC,GRN,0.0,1.0,0.0464419304912057,0.0,0.0464419304912057,35.43470889208583,Female,gained
OPC,Microglia,SEMA6,0.357001457526725,0.0,0.310799611873106,0.0,-0.04620184565361901,-0.1999452622366015,Female,shared
GABAergic_Neuron,GABAergic_Neuron,NRG,0.900963933416692,0.0,0.854801896843477,0.0,-0.04616203657321505,-0.07587924510977977,Female,shared
Ependymal,SMC,WNT,0.067052021558714,0.0,0.113181914777588,0.0,0.04612989321887401,0.7552907159434499,Female,shared
SMC,Ependymal,CD39,0.0,1.0,0.0461129542202782,0.0,0.0461129542202782,35.424453043681396,Female,gained
MOL,MOL,NCAM,0.963594404845372,0.0,0.917510685952575,0.0,-0.04608371889279694,-0.07070105586647273,Female,shared
