source,target,pathway_name,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Ependymal,SMC,LAMININ,0.788811658424557,0.0,1.18721652046343,0.0,0.39840486203887293,0.5898302931003686,Male,shared
Endothelial,GABAergic_Neuron,LAMININ,1.75303126672246,0.0,1.35587833407888,0.002,-0.39715293264357987,-0.3706239998445128,Male,shared
Tanycyte,MOL,NCAM,0.0,1.0,0.396517777857893,0.01,0.396517777857893,38.528594594315436,Male,gained
Tanycyte,Ependymal,JAM,0.396211034443824,0.0,0.0,1.0,-0.396211034443824,-38.52747810348649,Male,lost
Ependymal,OPC,NRXN,1.96012832795041,0.0033333333333333,1.57270688998284,0.0,-0.38742143796757,-0.31769829298063246,Male,shared
Ependymal,GABAergic_Neuron,CADM,0.0,1.0,0.387230541449887,0.0,0.387230541449887,38.49440178837265,Male,gained
GABAergic_Neuron,Ependymal,CADM,0.0,1.0,0.387230541449887,0.0,0.387230541449887,38.49440178837265,Male,gained
Glutamatergic_Neuron,Ependymal,CADM,0.0,1.0,0.385769251580168,0.02,0.385769251580168,38.488947199176934,Male,gained
Ependymal,Glutamatergic_Neuron,CADM,0.0,1.0,0.385769251580168,0.02,0.385769251580168,38.488947199176934,Male,gained
Ependymal,Tanycyte,CADM,0.0,1.0,0.385177539068501,0.04,0.385177539068501,38.48673262124707,Male,gained
Tanycyte,Ependymal,CADM,0.0,1.0,0.385177539068501,0.04,0.385177539068501,38.48673262124707,Male,gained
SMC,Microglia,VTN,0.216016858227479,0.0,0.600773997671351,0.0,0.384757139443872,1.4756784658455993,Male,shared
SMC,GABAergic_Neuron,LAMININ,3.92995502893461,0.0,3.54605803030927,0.0,-0.38389699862533977,-0.14829665784675636,Male,shared
MOL,GABAergic_Neuron,LAMININ,0.828652439215353,0.0,0.449558109149526,0.0,-0.37909433006582705,-0.8822595123778858,Male,shared
Astrocyte,GABAergic_Neuron,CADM,0.0,1.0,0.378592500575603,0.0,0.378592500575603,38.46185487717951,Male,gained
GABAergic_Neuron,Astrocyte,CADM,0.0,1.0,0.378592500575603,0.0,0.378592500575603,38.46185487717951,Male,gained
Ependymal,Endothelial,JAM,0.52597535969582,0.0,0.148720601980039,0.0,-0.377254757715781,-1.8223907003191862,Male,shared
Endothelial,Tanycyte,COLLAGEN,1.61530887073742,0.0,1.24491235379979,0.0,-0.37039651693763,-0.37576588066657346,Male,shared
MOL,Endothelial,LAMININ,0.739111481446734,0.0,0.369226657252031,0.0,-0.369884824194703,-1.0012852691783518,Male,shared
