source,target,interaction_name,ligand,receptor,interaction_name_2,pathway_name,annotation,evidence,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Ependymal,SMC,LAMA3_ITGA1_ITGB1,Lama3,ITGA1_ITGB1,Lama3  - (Itga1+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.290232164183563,0.0,0.117775901056231,0.0,-0.17245626312733203,-1.3011630414484932,Female,shared
Glutamatergic_Neuron,MOL,FGF1_FGFR2,,,,,,,0.0,1.0,0.171991761218646,0.0,0.171991761218646,37.323548502105574,Female,gained
Pericyte,OPC,AGRN_DAG1,,,,,,,0.0,1.0,0.170864531216472,0.0,0.170864531216472,37.31406199111208,Female,gained
Pericyte,SMC,COL4A1_ITGA10_ITGB1,,,,,,,0.0,1.0,0.170065692795948,0.0,0.170065692795948,37.30730118050803,Female,gained
Ependymal,SMC,JAM3_JAM3,,,,,,,0.0,1.0,0.169270311194916,0.0,0.169270311194916,37.30053800077241,Female,gained
SMC,Ependymal,JAM3_JAM3,,,,,,,0.0,1.0,0.169270311194916,0.0,0.169270311194916,37.30053800077241,Female,gained
Ependymal,Endothelial,VEGFB_VEGFR1,Vegfb,Flt1,Vegfb  - Vegfr1,VEGF,Secreted Signaling,KEGG: mmu04370; PMID: 16633338,0.155389641353557,0.0,0.324166481677475,0.0,0.16877684032391801,1.0608445926461527,Female,shared
Ependymal,Pericyte,LAMA3_ITGA1_ITGB1,Lama3,ITGA1_ITGB1,Lama3  - (Itga1+Itgb1),LAMININ,ECM-Receptor,KEGG: mmu04512,0.278885453374583,0.0,0.110435009230207,0.0,-0.168450444144376,-1.3364750891965573,Female,shared
Ependymal,OPC,MDK_PTPRZ1,Mdk,Ptprz1,Mdk  - Ptprz1,MK,Secreted Signaling,PMID: 28356350,0.128144187850031,0.0,0.295699376027678,0.0,0.16755518817764697,1.2063631543787952,Female,shared
Pericyte,Astrocyte,IGF2_IGF1R,Igf2,Igf1r,Igf2  - Igf1r,IGF,Secreted Signaling,PMID: 14604834,0.258577529439302,0.0,0.0917873737598542,0.0,-0.16679015567944783,-1.4942292936611454,Female,shared
Pericyte,MOL,IGF2_IGF1R,Igf2,Igf1r,Igf2  - Igf1r,IGF,Secreted Signaling,PMID: 14604834,0.265524270041168,0.0,0.0989743499127491,0.0,-0.1665499201284189,-1.4237171440427894,Female,shared
SMC,SMC,COL4A6_ITGA1_ITGB1,Col4a6,ITGA1_ITGB1,Col4a6  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.124207071183185,0.0,0.290064589173441,0.0,0.16585751799025603,1.2236268739620315,Female,shared
SMC,MOL,VTN_ITGAV_ITGB5,,,,,,,0.0,1.0,0.164594908142655,0.0,0.164594908142655,37.260128749450516,Female,gained
Pericyte,Ependymal,VTN_ITGAV_ITGB1,,,,,,,0.0,1.0,0.164236051524986,0.0,0.164236051524986,37.256979892245894,Female,gained
Ependymal,Ependymal,JAM3_JAM3,,,,,,,0.0,1.0,0.162632816468696,0.0,0.162632816468696,37.24282744127943,Female,gained
Pericyte,Astrocyte,AGRN_DAG1,,,,,,,0.0,1.0,0.16241505504171,0.0,0.16241505504171,37.24089441291442,Female,gained
Ependymal,Astrocyte,MDK_PTPRZ1,Mdk,Ptprz1,Mdk  - Ptprz1,MK,Secreted Signaling,PMID: 28356350,0.120197872713076,0.0,0.281417613430313,0.0,0.16121974071723702,1.2273012639639709,Female,shared
Pericyte,Tanycyte,PSAP_GPR37L1,,,,,,,0.0,1.0,0.160439892613522,0.0,0.160439892613522,37.22324194940308,Female,gained
