Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Inorganic Cation Transmembrane Transport (GO:0098662),16/284,6.6527628959896486e-06,0.0004821669108426784,0,0,4.084927475299558,48.69428939378513,SLC24A4;SLC24A3;SLC6A17;KCNC1;KCNC2;KCNB2;ATP1A3;ATP1B1;RYR3;SLC8A1;KCNQ2;KCNQ5;KCNN2;SCN2A;SCN2B;HCN1
GO_Biological_Process_2023,Negative Regulation Of Cell Projection Organization (GO:0031345),7/50,9.157617210590753e-06,0.0006335406088417785,0,0,10.92142233510596,126.69859641142828,KANK1;DCC;PTPRO;DPYSL3;STMN2;SPOCK1;GRIN2B
GO_Biological_Process_2023,Glutamate Receptor Signaling Pathway (GO:0007215),6/35,1.219340190900189e-05,0.000806885117630473,0,0,13.843068261787474,156.62899582505926,GRM5;GRM7;GRIN2B;GRM1;GRIA4;GRIN1
GO_Biological_Process_2023,Potassium Ion Transport (GO:0006813),10/122,1.556907992232787e-05,0.000987339151740959,0,0,6.030788177339901,66.76217401050347,SLC24A4;SLC24A3;KCNC1;KCNC2;KCNB2;KCNQ2;KCNMA1;KCNQ5;KCNN2;HCN1
GO_Biological_Process_2023,Positive Regulation Of Signaling (GO:0023056),6/37,1.702968280896725e-05,0.0010215628276533,0,0,12.9486504279131,142.18333827372788,RIMS1;RIMS3;CLSTN2;SYT1;CLSTN3;SNCA
GO_Biological_Process_2023,"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",7/55,1.745113897436729e-05,0.0010215628276533,0,0,9.781285551763368,107.16479780705518,GRM5;GRM7;SYT1;GRIN2B;GRM1;GRIN1;HCN1
GO_Biological_Process_2023,Signal Release From Synapse (GO:0099643),6/38,1.99697370407205e-05,0.0011257014731843,0,0,12.543367346938776,135.73544797880575,SNAP25;RIMS1;SYT1;STXBP1;SYN1;SNCA
GO_Biological_Process_2023,Calcium Ion Homeostasis (GO:0055074),9/102,2.304953436276854e-05,0.0012529068321476,0,0,6.520452278017958,69.62450909780776,RYR2;SLC24A4;SLC24A3;HTR2C;FAM20A;ATP1B1;SLC8A1;SNCA;GRIN1
GO_Biological_Process_2023,Calcium-Ion Regulated Exocytosis (GO:0017156),5/26,3.730201049551283e-05,0.0019577124129024,0,0,15.882970137207426,161.95012260860648,RIMS1;SYT4;RIMS3;SYT2;SYT1
GO_Biological_Process_2023,Sodium Ion Transport (GO:0006814),8/89,5.755757705079707e-05,0.0029200877423771,0,0,6.6358870285810925,64.78433867250546,SLC24A4;SLC24A3;SLC6A17;ATP1B1;SCN2A;SLC8A1;HCN1;SCN2B
