"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.16070590661321e-44,-0.512657265259771,0.102,0.159,1.19872876798812e-39,"Med24"
1.37899235869295e-87,-0.513112783663912,0.187,0.29,3.20312345077198e-83,"Rab5b"
1.48989500234061e-100,-0.513332453980054,0.239,0.358,3.46072811143678e-96,"Zfp933"
2.03980507755073e-86,-0.51345934231951,0.229,0.338,4.73805923413484e-82,"Fbxo38"
8.75733611610644e-28,-0.514493821993584,0.161,0.213,2.0341540330492e-23,"Mir670hg"
9.33475022304485e-55,-0.514655552052326,0.162,0.237,2.16827578180886e-50,"Cry2"
3.07684485447862e-58,-0.514898077616639,0.175,0.254,7.14689522798294e-54,"Dhx32"
1.80832853542215e-84,-0.515209881875544,0.227,0.334,4.20038552207856e-80,"Zfp799"
2.43851521497013e-36,-0.515234065081942,0.127,0.183,5.66418314133262e-32,"Arntl2"
7.05709780312431e-133,-0.515242258513198,0.275,0.419,1.63922267770971e-128,"Rif1"
1.18380531898489e-63,-0.515270709896612,0.229,0.32,2.74974299493811e-59,"Ankrd6"
1.4307482504697e-79,-0.51529828391642,0.203,0.303,3.32334203619103e-75,"Dhx9"
1.86829364677524e-74,-0.515449426751011,0.249,0.35,4.33967248272952e-70,"Dpysl5"
1.31576013046958e-26,-0.515723408350819,0.067,0.103,3.05624763105474e-22,"Nolc1"
2.17137968645575e-53,-0.515797005771357,0.163,0.238,5.04368073569941e-49,"Radil"
4.22283975401929e-32,-0.51648532154341,0.069,0.109,9.808812180636e-28,"Trim11"
5.1146613267771e-24,-0.516903721629872,0.088,0.125,1.18803353298379e-19,"Syt17"
6.00588560712395e-134,-0.517630210821142,0.332,0.477,1.39504710882275e-129,"Rp9"
2.78088150196631e-47,-0.517644330981039,0.07,0.122,6.45943155276735e-43,"Flcn"
1.82083852266196e-43,-0.517754751938959,0.099,0.155,4.2294437204392e-39,"Arpc5"
8.15871714321863e-91,-0.518125581016972,0.32,0.434,1.89510681802682e-86,"Ppip5k1"
3.68835084169066e-69,-0.518163729050528,0.17,0.258,8.56730133507907e-65,"Ahsa2"
6.21281808625535e-29,-0.518581824738896,0.066,0.104,1.44311338507539e-24,"Nup43"
2.07345185861175e-62,-0.518927676043904,0.226,0.314,4.81621397718338e-58,"Mttp"
4.29217430932125e-59,-0.518939956320519,0.156,0.234,9.96986248569139e-55,"Pou6f1"
1.62903289403132e-46,-0.519050596125461,0.083,0.137,3.78391760625595e-42,"Mlh1"
1.06876356990581e-95,-0.519933296109938,0.176,0.284,2.4825240201772e-91,"Trappc10"
2.31023230378473e-118,-0.520080270877463,0.313,0.448,5.36620759523117e-114,"Ncoa5"
2.82269158592065e-121,-0.520317667663604,0.321,0.458,6.55654801577649e-117,"Zc3h13"
0,-0.521348740567929,0.749,0.866,0,"Mycbp2"
8.84259411180845e-52,-0.521393884167539,0.113,0.178,2.05395776029087e-47,"Metap1"
1.69059349681136e-57,-0.521424849085851,0.139,0.213,3.92691057439343e-53,"Hdhd5"
8.00853158994728e-41,-0.522208392996066,0.108,0.164,1.86022171771295e-36,"Aldh5a1"
6.615965509489e-36,-0.522246575021776,0.079,0.125,1.5367564685441e-31,"Pomt1"
4.04577329713678e-63,-0.522695238794251,0.18,0.264,9.39752221458931e-59,"Gm45844"
4.16138137908929e-165,-0.522851306279964,0.424,0.583,9.66605666734859e-161,"Acin1"
1.261561936847e-54,-0.523045412501039,0.091,0.153,2.93035606690821e-50,"Mrps6"
1.89197648657607e-32,-0.523371233784911,0.093,0.14,4.3946829830189e-28,"Dpysl4"
2.04378621509357e-100,-0.523484586480444,0.263,0.385,4.74730662041934e-96,"Hbs1l"
2.43328218504295e-147,-0.524181747183326,0.377,0.53,5.65202785941775e-143,"Dync1h1"
2.04957805450581e-35,-0.524777258589499,0.074,0.118,4.7607599050061e-31,"Gtf2e1"
6.46975646294137e-37,-0.5250621283659,0.075,0.12,1.50279503121202e-32,"0610037L13Rik"
2.57396240704596e-113,-0.525105356793997,0.274,0.405,5.97879987908636e-109,"Atxn2l"
2.49049076552153e-50,-0.525366508764454,0.105,0.167,5.78491195015341e-46,"Lsm7"
1.61702693109258e-202,-0.526059585709795,0.627,0.743,3.75603015554183e-198,"Ahi1"
1.0391033655429e-41,-0.526419535551343,0.079,0.128,2.41362929748304e-37,"Klhdc3"
2.0466604481217e-113,-0.526432039657057,0.361,0.491,4.75398288889709e-109,"Add2"
3.60459221607036e-31,-0.526712821447775,0.088,0.131,8.37274679948823e-27,"Gm16638"
1.49534769826536e-51,-0.527088954015725,0.105,0.167,3.47339363353079e-47,"Kctd18"
7.33260743172032e-51,-0.527449893918439,0.069,0.122,1.70321805424e-46,"Vars"
