"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
9.78340377189176e-05,0.918110177514566,0.281,0.173,1,"Tbc1d32"
0.011110524327031,0.917873360609972,0.105,0.06,1,"Gas2"
0.00209395427270421,0.915488841314596,0.143,0.08,1,"Drp2"
0.00836125292385609,0.914295881262474,0.671,0.746,1,"Fat3"
1.61154303970505e-11,0.912984577239035,0.557,0.35,3.7432921726269e-07,"Kcnq1ot1"
1.68023423332793e-05,0.912051300486907,0.352,0.222,0.390284807717412,"Rabac1"
2.23280214887634e-05,0.910212453660326,0.229,0.125,0.518635283140997,"Cisd2"
0.000822117682343775,0.909666894438343,0.152,0.084,1,"Bex3"
1.0670389142102e-06,0.909411185383283,0.3,0.169,0.0247851798992744,"Txlng"
1.07840542716779e-06,0.907790375197815,0.343,0.198,0.0250492012622534,"Rpl13"
1.04304690112287e-10,0.90621740063448,0.733,0.566,2.4227893419282e-06,"Itm2b"
5.65803791574415e-12,0.905414165632961,0.576,0.36,1.31424904706905e-07,"Srsf7"
2.78148462300221e-07,0.905329160598067,0.314,0.172,0.00646083248230953,"Adamts6"
8.99477283180902e-06,0.904287932412215,0.238,0.128,0.20893058333726,"Tex9"
0.000117126250655145,0.903981270160298,0.21,0.118,1,"Atl1"
1.43904545055352e-05,0.903687017433277,0.243,0.133,0.334261477254571,"Myef2"
0.00158897029409539,0.903560257417905,0.148,0.083,1,"H2afz"
0.0161957735564529,0.903030758047526,0.124,0.077,1,"Ctbp2"
0.000406413947005168,0.903022847955584,0.167,0.092,1,"Ift172"
3.9631900300466e-06,0.902692000646555,0.324,0.191,0.0920569780179225,"Spcs2"
0.000622860143767011,0.902689234214895,0.19,0.112,1,"Cpt1c"
0.0643938481527157,0.902412579715578,0.105,0.071,1,"Tbc1d24"
0.000592786854941742,0.901858985204465,0.176,0.1,1,"Srbd1"
0.0148356546219228,0.900442620345994,0.133,0.085,1,"Sec16a"
3.04183411302637e-07,0.900270286536679,0.338,0.192,0.00706557227773766,"Sf1"
0.000176291258690925,0.899702588622268,0.19,0.106,1,"Camsap1"
1.18189086919514e-06,0.899406181336641,0.233,0.115,0.0274529611096647,"Heg1"
0.00157626470703803,0.899012073247366,0.176,0.106,1,"Ptbp3"
0.000882868201874759,0.898751214609444,0.119,0.059,1,"Npr2"
0.00125138454709917,0.897558023483698,0.11,0.054,1,"Josd2"
0.000307254023993071,0.896684550157846,0.162,0.086,1,"BC005624"
0.019010660975833,0.895656523969276,0.105,0.064,1,"Clip2"
0.000158931521445677,0.895109152972111,0.181,0.097,1,"Sem1"
0.0453534723820556,0.894795987969936,0.133,0.093,1,"Rps29"
5.45629687527932e-09,0.894439838722376,0.429,0.247,0.000126738863818988,"Add1"
1.11178800723985e-07,0.892644630578158,0.457,0.294,0.00258246118321672,"Usp9x"
0.000137947014709545,0.892197170568459,0.205,0.115,1,"Akr1a1"
0.000707684972416013,0.891726170573555,0.152,0.083,1,"Fam185a"
0.0587251228344457,0.890294300868472,0.157,0.115,1,"Rbbp7"
0.000925056169689668,0.890137006198698,0.214,0.133,1,"Sncaip"
