"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.0107019945299906,6.41789538350434,0.222,0,1,"Pmp22"
0.0211756533911323,5.84187424077756,0.185,0,1,"Ssna1"
0.081325976608888,5.33121147656417,0.111,0,1,"Clec4a1"
0.081325976608888,5.2296393716082,0.111,0,1,"Adgrg6"
0.081325976608888,5.14296666557,0.111,0,1,"Xlr"
0.081325976608888,5.12509337353851,0.111,0,1,"Ier5"
0.081325976608888,5.05913610630649,0.111,0,1,"Tpbgl"
0.081325976608888,4.98664311123547,0.111,0,1,"Smim24"
0.081325976608888,4.91119191223473,0.111,0,1,"Sat2"
0.081325976608888,4.88145077311279,0.111,0,1,"Slc17a9"
0.286103829983056,4.72750265220797,0.111,0.037,1,"Mdp1"
0.182306280229659,4.72116445090906,0.185,0.074,1,"Eftud2"
0.148507395209767,4.5995064670341,0.148,0.037,1,"Ttc9c"
0.286103829983056,4.56296479103559,0.111,0.037,1,"Lemd2"
0.148507395209767,4.37752881672126,0.148,0.037,1,"Lmo4"
0.286103829983056,4.22521420647691,0.111,0.037,1,"Cdc26"
0.148507395209767,4.21175693166511,0.148,0.037,1,"Mlxipl"
0.182306280229659,4.13608956241914,0.185,0.074,1,"Fam69a"
0.286103829983056,4.02517249789487,0.111,0.037,1,"Fgd3"
0.286103829983056,4.00069098526063,0.111,0.037,1,"2700049A03Rik"
0.333537249660539,3.95454329637134,0.148,0.074,1,"Rbpms"
0.286103829983056,3.88903802421257,0.111,0.037,1,"Rabif"
0.582038841603879,3.82482435124027,0.111,0.074,1,"0610012G03Rik"
0.286103829983056,3.81032274376962,0.111,0.037,1,"2900060B14Rik"
0.182306280229659,3.80015122043517,0.185,0.074,1,"Pmch"
0.191593896256086,3.78638171538219,0.222,0.111,1,"Mdh1"
0.333537249660539,3.78233930791836,0.148,0.074,1,"Ly96"
0.286103829983056,3.7762055805013,0.111,0.037,1,"Irf9"
0.148507395209767,3.76409414520781,0.148,0.037,1,"Ddx58"
0.0380212975982016,3.72347783681513,0.222,0.037,1,"Susd3"
0.286103829983056,3.72162759209603,0.111,0.037,1,"Aldoc"
0.286103829983056,3.68286577962886,0.111,0.037,1,"Eif3e"
0.286103829983056,3.56952792440855,0.111,0.037,1,"Runx3"
0.286103829983056,3.56074929074503,0.111,0.037,1,"Gid4"
0.286103829983056,3.55023607633373,0.111,0.037,1,"Mrps24"
0.184319102356623,3.54688526186125,0.259,0.148,1,"Bri3"
0.582038841603879,3.54354552908515,0.111,0.074,1,"Cyb5r1"
0.573358268950738,3.52193898833734,0.148,0.111,1,"Terf2"
0.286103829983056,3.51107508850003,0.111,0.037,1,"Zfp809"
0.286103829983056,3.50597188396313,0.111,0.037,1,"Zfp653"
0.286103829983056,3.48849056169654,0.111,0.037,1,"Gng5"
0.286103829983056,3.48683148431904,0.111,0.037,1,"Nsmce3"
0.573358268950738,3.48388071016368,0.148,0.111,1,"Rgl2"
0.582038841603879,3.46465221946334,0.111,0.074,1,"Kcnab2"
0.333537249660539,3.42561062375206,0.148,0.074,1,"Srgn"
0.286103829983056,3.38769666145581,0.111,0.037,1,"Spsb1"
0.0380212975982016,3.38612357827822,0.222,0.037,1,"Nmi"
0.582038841603879,3.38247931651642,0.111,0.074,1,"2410004B18Rik"
0.582038841603879,3.36496292128922,0.111,0.074,1,"Commd3"
0.286103829983056,3.3380144379376,0.111,0.037,1,"Smim15"
0.286103829983056,3.32056449499224,0.111,0.037,1,"Lag3"
0.182306280229659,3.30153622342862,0.185,0.074,1,"Rcor1"
0.340885223446342,3.2735291202315,0.037,0.111,1,"Sucla2"
0.573358268950738,3.27269432078004,0.148,0.111,1,"Sirt2"
0.899081716677336,3.26520814067183,0.111,0.111,1,"Ddost"
0.582038841603879,3.26402428515107,0.111,0.074,1,"Mrpl42"
0.899081716677336,3.25545737843871,0.111,0.111,1,"Sin3b"
