cell_type,n_cells,mean,median,q90,fraction_gt_0.5,umap_silhouette
GABAergic_Neuron,18270,0.004761904761904762,0.0,0.0,0.0030651340996168583,0.36308568716049194
Glutamatergic_Neuron,17866,0.004671816112541513,0.0,0.0,0.0027426396507332362,0.36308568716049194
