donor_label,age_group,sex_group,cell_type_major,n_cells
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,T_cell,5
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,Tanycyte,223
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,VLMC,59
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Astrocyte,6207
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,BAM,26
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,COP,41
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Endothelial,970
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Ependymal,145
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,GABAergic_Neuron,2820
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Glutamatergic_Neuron,2279
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,MFOL,11
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,MOL,1398
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Microglia,629
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,NFOL,7
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,OPC,1212
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Pericyte,260
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,SMC,188
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,T_cell,8
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Tanycyte,349
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,VLMC,64
Snap25-IRES2-Cre;Ai14-536274,Adult(2m),Female,Tanycyte,93
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Astrocyte,2809
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,BAM,16
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,COP,66
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Dendritic_Cell,2
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Dopaminergic_Neuron,3
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Endothelial,224
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Ependymal,69
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,GABAergic_Neuron,1202
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Glutamatergic_Neuron,1203
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,MFOL,29
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,MOL,679
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Microglia,255
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,NFOL,6
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,OPC,592
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Pericyte,119
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,SMC,79
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Tanycyte,156
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,VLMC,36
Snap25-IRES2-Cre;Ai14-539606,Adult(2m),Male,Tanycyte,141
Snap25-IRES2-Cre;Ai14-539609,Adult(2m),Female,Tanycyte,16
Snap25-IRES2-Cre;Ai14-540230,Adult(2m),Female,Tanycyte,6
Snap25-IRES2-Cre;Ai14-546892,Adult(2m),Male,Tanycyte,20
Snap25-IRES2-Cre;Ai14-546895,Adult(2m),Male,Tanycyte,1
Snap25-IRES2-Cre;Ai14-547122,Adult(2m),Male,Tanycyte,4
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Astrocyte,1791
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,BAM,15
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,COP,38
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Dendritic_Cell,2
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Dopaminergic_Neuron,1
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Endothelial,313
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Ependymal,60
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,GABAergic_Neuron,1311
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Glutamatergic_Neuron,1437
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,MFOL,41
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,MOL,673
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Microglia,193
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,NFOL,5
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,OPC,385
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Pericyte,109
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,SMC,59
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,T_cell,2
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,Tanycyte,200
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,VLMC,23
Snap25-IRES2-Cre;Ai14-551639,Adult(2m),Male,Tanycyte,171
Snap25-IRES2-Cre;Ai14-556848,Adult(2m),Male,Tanycyte,53
Snap25-IRES2-Cre;Ai14-566076,Adult(2m),Female,Tanycyte,10
Snap25-IRES2-Cre;Ai14-568464,Adult(2m),Female,Tanycyte,36
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,Astrocyte,121
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,COP,3
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,Endothelial,3
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,Ependymal,6
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,GABAergic_Neuron,1220
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,Glutamatergic_Neuron,1031
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,MFOL,10
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,MOL,165
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,Microglia,10
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,NFOL,1
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,OPC,74
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,Pericyte,1
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,SMC,2
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,Tanycyte,11
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,VLMC,3
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,Astrocyte,106
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,BAM,1
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,COP,12
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,Endothelial,9
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,Ependymal,7
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,GABAergic_Neuron,2500
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,Glutamatergic_Neuron,2652
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,MFOL,9
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,MOL,333
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,Microglia,2
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,OPC,147
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,Pericyte,7
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,Tanycyte,23
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,VLMC,5
