,count,mean,std,min,1%,5%,50%,95%,99%,max
total_counts,82431.0,20213.832502335288,15747.27931098334,1286.0,2406.3,4039.0,13318.0,49478.0,63084.499999999985,150807.0
n_genes_by_counts,82431.0,5061.720542029091,2225.329930200432,1001.0,1412.0,2102.0,4555.0,8461.0,9131.0,10973.0
pct_counts_mt,82431.0,3.5275743456171464,2.2986269956724517,0.0,0.6949712141509182,1.2631603424446105,2.9206898208195224,7.573937954590193,11.93628094214886,45.68492467325152
