key,prob_young,prob_aged,change,log2FC,LR_pair,direction
JAM2_JAM2|Tanycyte→Microglia,2.85917856791388e-11,4.43763067715133e-11,1.57845210923745e-11,0.634188878649361,JAM2_JAM2,Tanycyte→Microglia
PENK_OPRM1|Tanycyte→Microglia,0,1.48366725451699e-11,1.48366725451699e-11,63.6858013745456,PENK_OPRM1,Tanycyte→Microglia
IFNG_IFNGR1_IFNGR2|Tanycyte→Microglia,1.42481091715656e-11,0,-1.42481091715656e-11,-63.6274042786423,IFNG_IFNGR1_IFNGR2,Tanycyte→Microglia
TNXB_ITGAV_ITGB3|Tanycyte→Microglia,0,1.41426173325953e-11,1.41426173325953e-11,63.6166829430444,TNXB_ITGAV_ITGB3,Tanycyte→Microglia
COL4A4_ITGA9_ITGB1|Tanycyte→Microglia,0,1.37574305512494e-11,1.37574305512494e-11,63.5768448486908,COL4A4_ITGA9_ITGB1,Tanycyte→Microglia
LAMA2_ITGA6_ITGB1|Tanycyte→Microglia,1.38812805553282e-11,2.74774900345154e-11,1.35962094791873e-11,0.985109561981898,LAMA2_ITGA6_ITGB1,Tanycyte→Microglia
NCAM2_L1CAM|Tanycyte→Microglia,1.28827036293067e-11,0,-1.28827036293067e-11,-63.4820691993616,NCAM2_L1CAM,Tanycyte→Microglia
THBS3_ITGAV_ITGB3|Tanycyte→Microglia,4.74206985640588e-11,6.00394127526876e-11,1.26187141886288e-11,0.340392950370092,THBS3_ITGAV_ITGB3,Tanycyte→Microglia
LAMA2_ITGA9_ITGB1|Tanycyte→Microglia,1.22008776353468e-11,2.35841666212931e-11,1.13832889859463e-11,0.95083369449519,LAMA2_ITGA9_ITGB1,Tanycyte→Microglia
DLK1_NOTCH1|Tanycyte→Microglia,2.67052073678634e-12,1.39545295634628e-11,1.12840088266765e-11,2.3855404969227,DLK1_NOTCH1,Tanycyte→Microglia
THY1_ITGAV_ITGB3|Tanycyte→Microglia,0,9.60630611984982e-12,9.60630611984982e-12,63.0586874909964,THY1_ITGAV_ITGB3,Tanycyte→Microglia
NRXN2_NLGN1|Tanycyte→Microglia,7.75381480302007e-11,8.63967586654942e-11,8.85861063529348e-12,0.156070910759422,NRXN2_NLGN1,Tanycyte→Microglia
COL6A3_ITGA9_ITGB1|Tanycyte→Microglia,1.54544449801766e-11,2.35841666212931e-11,8.12972164111648e-12,0.609796778956198,COL6A3_ITGA9_ITGB1,Tanycyte→Microglia
FGF1_FGFR2|Tanycyte→Microglia,1.91588925180985e-11,2.70604884557115e-11,7.90159593761298e-12,0.498173712597863,FGF1_FGFR2,Tanycyte→Microglia
TNR_SDC4|Tanycyte→Microglia,2.61329526243409e-11,3.39138827131316e-11,7.78093008879067e-12,0.37600582789793,TNR_SDC4,Tanycyte→Microglia
LAMB2_DAG1|Tanycyte→Microglia,5.9388845210065e-12,1.35030390609156e-11,7.56415453990913e-12,1.18502025847706,LAMB2_DAG1,Tanycyte→Microglia
LAMC1_DAG1|Tanycyte→Microglia,3.85224942296324e-12,1.11587614504616e-11,7.30651202749837e-12,1.53440388433234,LAMC1_DAG1,Tanycyte→Microglia
CTF1_LIFR_IL6ST|Tanycyte→Microglia,0,6.98435039550654e-12,6.98435039550654e-12,62.5988316468338,CTF1_LIFR_IL6ST,Tanycyte→Microglia
COL1A2_ITGA9_ITGB1|Tanycyte→Microglia,8.94731028016081e-12,1.9653472254062e-12,-6.98196305475461e-12,-2.18666982643797,COL1A2_ITGA9_ITGB1,Tanycyte→Microglia
TNR_ITGAV_ITGB3|Tanycyte→Microglia,3.09363607412459e-11,2.40157652428961e-11,-6.92059549834979e-12,-0.365321712925245,TNR_ITGAV_ITGB3,Tanycyte→Microglia
NECTIN3_NECTIN2|Tanycyte→Microglia,8.56055425353567e-12,1.53830918198001e-11,6.82253756626439e-12,0.845569384980745,NECTIN3_NECTIN2,Tanycyte→Microglia
MDK_PTPRZ1|Tanycyte→Microglia,1.52135937529619e-12,7.98443591284179e-12,6.4630765375456e-12,2.39182950068615,MDK_PTPRZ1,Tanycyte→Microglia
SEMA6A_PLXNA4|Tanycyte→Microglia,1.06750986739932e-09,1.07390296962454e-09,6.39310222521653e-12,0.00861424207347796,SEMA6A_PLXNA4,Tanycyte→Microglia
NRXN3_NLGN1|Tanycyte→Microglia,4.4635845684296e-11,3.89671033001669e-11,-5.66874238412913e-12,-0.195946070140354,NRXN3_NLGN1,Tanycyte→Microglia
COL6A3_SDC4|Tanycyte→Microglia,3.62427814109059e-12,9.04370209370583e-12,5.41942395261524e-12,1.31921979180355,COL6A3_SDC4,Tanycyte→Microglia
COL4A4_SDC4|Tanycyte→Microglia,0,5.27549289125384e-12,5.27549289125384e-12,62.1940115996213,COL4A4_SDC4,Tanycyte→Microglia
NRG1_ERBB4|Tanycyte→Microglia,0,3.37112909899649e-12,3.37112909899649e-12,61.5479375850472,NRG1_ERBB4,Tanycyte→Microglia
LAMB2_SV2A|Tanycyte→Microglia,4.13139793130948e-12,1.00022511767342e-12,-3.13117281363606e-12,-2.04630528594805,LAMB2_SV2A,Tanycyte→Microglia
INHABA_ACVR2A|Tanycyte→Microglia,3.06216286968598e-12,0,-3.06216286968598e-12,-61.4092567266167,INHABA_ACVR2A,Tanycyte→Microglia
THY1_ITGAX_ITGB2|Tanycyte→Microglia,0,2.94988698282227e-12,2.94988698282227e-12,61.3553653904317,THY1_ITGAX_ITGB2,Tanycyte→Microglia
LAMA3_DAG1|Tanycyte→Microglia,0,2.81313314262046e-12,2.81313314262046e-12,61.2868835434736,LAMA3_DAG1,Tanycyte→Microglia
GDF11_ACVR1B_ACVR2B|Tanycyte→Microglia,8.10626072234738e-12,1.06509636057183e-11,2.5447028833709e-12,0.393875475976585,GDF11_ACVR1B_ACVR2B,Tanycyte→Microglia
NRG2_ERBB4|Tanycyte→Microglia,6.37389094559155e-12,8.81679917412001e-12,2.44290822852846e-12,0.468080663432576,NRG2_ERBB4,Tanycyte→Microglia
LAMC1_SV2A|Tanycyte→Microglia,2.67982568707654e-12,8.26574923656425e-13,-1.85325076342011e-12,-1.69692166015794,LAMC1_SV2A,Tanycyte→Microglia
BTC_ERBB4|Tanycyte→Microglia,2.60538608475261e-12,9.40026383748648e-13,-1.66535970100396e-12,-1.47072402258388,BTC_ERBB4,Tanycyte→Microglia
JAG1_NOTCH2|Tanycyte→Microglia,0,1.6242081480929e-12,1.6242081480929e-12,60.4944422388815,JAG1_NOTCH2,Tanycyte→Microglia
EFNA2_EPHA2|Tanycyte→Microglia,7.53700975200401e-13,2.26671386573837e-12,1.51301289053797e-12,1.58853812227446,EFNA2_EPHA2,Tanycyte→Microglia
LAMA2_DAG1|Tanycyte→Microglia,8.02551964314583e-13,2.25050651430394e-12,1.44795454998935e-12,1.48758302753395,LAMA2_DAG1,Tanycyte→Microglia
